,LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Type,Year,BRANCH,Location
370,,1962 W. 95th St.,Chicago,60643,2827,2245,2868,2782,2869,3118,3637,3196,3080,3177,3395,2655,35849,Circulation,2021,Beverly,POINT (-87.672288 41.721148)
371,,115 S. Pulaski Rd.,Chicago,60624,344,234,421,420,488,466,479,566,435,458,454,461,5226,Circulation,2021,Legler Regional,POINT (-87.725593 41.879302)
372,,2708 S. Pulaski Rd.,Chicago,60623,1746,1562,2159,1766,1677,1895,2070,1829,2640,2503,2187,1636,23670,Circulation,2021,Toman,POINT (-87.724477 41.842073)
373,,5615 W. Race Ave.,Chicago,60644,680,626,667,549,565,682,581,512,625,611,563,447,7108,Circulation,2021,Austin,POINT (-87.766942 41.889281)
374,,8530 S. Kedzie Ave.,Chicago,60652,597,0,447,486,606,791,679,746,740,755,833,607,7287,Circulation,2021,Wrightwood-Ashburn,POINT (-87.702091 41.738331)
375,,5363 W. Lawrence Ave.,Chicago,60630,3868,3332,4559,4174,4175,4866,5573,5385,4925,5395,5085,4116,55453,Circulation,2021,Jefferson Park,POINT (-87.761964 41.967648)
376,,4400 W. Lawrence Ave.,Chicago,60630,2396,1917,2867,2457,2364,2265,2615,2504,2627,2498,2602,3076,30188,Circulation,2021,Mayfair,POINT (-87.738155 41.968148)
377,,9055 S. Houston Ave.,Chicago,60617,154,291,628,605,564,721,875,963,861,656,640,927,7885,Circulation,2021,South Chicago,POINT (-87.549849 41.730371)
378,,6423 W. 63rd Pl.,Chicago,60638,1667,1262,1465,1517,1579,2025,2072,1754,1714,1696,1830,1603,20184,Circulation,2021,Clearing,POINT (-87.782282 41.7768)
379,,644 W. Belmont Ave.,Chicago,60657,7473,7031,7944,8022,8035,8101,8093,8334,8640,8994,7904,2862,91433,Circulation,2021,Merlo,POINT (-87.646055 41.940054)
380,,929 W. Buena Ave.,Chicago,60613,6972,5496,5671,5047,5163,5812,6126,5643,5797,5623,5343,4768,67461,Circulation,2021,Uptown,POINT (-87.654217 41.95846)
381,,6120 S. Kedzie Ave.,Chicago,60629,1111,902,1264,1184,1452,1661,2000,1634,1509,1895,1563,1380,17555,Circulation,2021,Chicago Lawn,POINT (-87.703231 41.781967)
382,,400 S. State Street,Chicago,60605,20965,18837,21898,21220,22635,25011,24932,24348,24256,23970,22693,21046,271811,Circulation,2021,Harold Washington Library Center,POINT (-87.627695 41.876301)
383,,4314 S. Archer Ave.,Chicago,60632,1491,1090,1704,1471,1525,1643,1914,1551,200,26,1170,1172,14957,Circulation,2021,Brighton Park,POINT (-87.703067 41.814848)
384,,4856 W. Chicago Ave.,Chicago,60651,155,173,135,111,161,201,225,270,337,346,310,260,2684,Circulation,2021,West Chicago Avenue,POINT (-87.747411 41.895019)
385,,2311 S. Kedzie Ave.,Chicago,60623,1041,924,1280,1157,1223,1395,1829,1318,1478,1443,1541,1138,15767,Circulation,2021,Little Village,POINT (-87.705179 41.849599)
386,,1659 W. Melrose St.,Chicago,60657,9936,8912,11336,10740,10787,12202,11856,11427,10767,10886,10992,9308,129149,Circulation,2021,Lincoln Belmont,POINT (-87.670433 41.940599)
387,,2807 W. 55th St.,Chicago,60632,0,0,0,0,0,0,18,545,423,669,608,510,2773,Circulation,2021,Gage Park,POINT (-87.694138 41.793722)
388,,6800 N. Western Ave.,Chicago,60645,9320,8239,9846,8881,9253,10035,10412,9839,8712,9200,8452,4575,106764,Circulation,2021,Northtown,POINT (-87.690175 42.00536)
389,,7455 W. Cornelia Ave.,Chicago,60634,3229,2701,3431,3092,3034,3721,3820,3373,3073,3151,3008,2564,38197,Circulation,2021,Dunning,POINT (-87.813908 41.94331)
390,,1226 W. Ainslie St.,Chicago,60640,162,1265,5408,5055,5312,5845,6276,5696,5540,5640,5614,5260,57073,Circulation,2021,Bezazian,POINT (-87.660739 41.971414)
391,,122 N. Aberdeen St.,Chicago,60607,3468,3130,3701,3830,3727,4043,4209,4126,3823,4057,3845,3547,45506,Circulation,2021,West Loop,POINT (-87.654421 41.883595)
392,,11001 S. Indiana Ave.,Chicago,60628,222,288,271,302,325,335,342,357,324,365,468,3480,7079,Circulation,2021,Pullman,POINT (-87.618295 41.694366)
393,,2401 E. 100th St.,Chicago,60617,267,178,284,260,41,102,272,326,348,303,464,360,3205,Circulation,2021,Jeffery Manor,POINT (-87.565489 41.713513)
394,,4801 S. Michigan Ave.,Chicago,60615,6,162,418,469,525,616,712,691,671,632,684,583,6169,Circulation,2021,Hall,POINT (-87.622776 41.807273)
395,,11010 S. Kedzie Ave.,Chicago,60655,3330,2750,3261,3392,3230,3845,3746,3663,3176,2951,2862,5610,41816,Circulation,2021,Mount Greenwood,POINT (-87.700878 41.692925)
396,,731 E. 63rd St.,Chicago,60637,836,716,883,657,1013,766,1205,1110,1147,1024,988,812,11157,Circulation,2021,Coleman,POINT (-87.606849 41.780405)
397,,6100 W. Irving Park Rd.,Chicago,60634,4715,4232,5796,4717,5354,6140,6020,5749,5311,5480,4718,4702,62934,Circulation,2021,Austin-Irving,POINT (-87.779388 41.953025)
398,,9525 S. Halsted St.,Chicago,60628,2020,1681,1909,2071,1939,1589,2162,2056,2173,2220,1872,1636,23328,Circulation,2021,Woodson Regional Library,POINT (-87.643122 41.720675)
399,,7506 S. Racine Ave.,Chicago,60620,723,659,728,633,638,611,758,753,771,723,869,2120,9986,Circulation,2021,Thurgood Marshall,POINT (-87.65393 41.757373)
400,,3647 S. State St.,Chicago,60609,595,582,506,610,594,704,634,726,777,865,777,521,7891,Circulation,2021,Chicago Bee,POINT (-87.626436 41.828152)
401,,3710 E. 106th St.,Chicago,60617,1091,1109,1550,1497,1259,1681,2009,1603,1818,1882,1573,1554,18626,Circulation,2021,Vodak-East Side,POINT (-87.533513 41.70272)
402,,5440 S. Racine Ave.,Chicago,60609,158,199,204,140,174,199,273,253,189,173,159,738,2859,Circulation,2021,Sherman Park,POINT (-87.65487 41.794843)
403,POINT (-87.67426 41.692473),11071 S. Hoyne Ave.,Chicago,60643,325,457,704,707,516,900,990,977,975,1783,3088,633,12055,Visitors,2021,Walker,
404,POINT (-87.713595 41.975693),3401 W. Foster Ave.,Chicago,60625,3419,3366,4404,4299,4256,4958,5325,5877,6740,7259,6445,6492,62840,Visitors,2021,Albany Park,
405,POINT (-87.585869 41.746322),8148 S. Stony Island Ave.,Chicago,60617,2985,2513,4235,3864,4046,3479,4270,4583,4489,4840,4136,3413,46853,Visitors,2021,Avalon,
406,POINT (-87.657726 41.732282),1350 W. 89th St.,Chicago,60620,617,815,1160,129,0,469,624,655,714,754,602,774,7313,Visitors,2021,Brainerd,
407,POINT (-87.813329 41.978015),7454 W. Balmoral Ave.,Chicago,60656,3528,2912,3868,3563,3688,4291,4375,4047,5658,4963,4734,4153,49780,Visitors,2021,Oriole Park,
408,POINT (-87.660263 41.869359),1336 W. Taylor St.,Chicago,60607,2801,2488,811,2835,3314,3536,4215,4359,4920,6862,5647,6305,48093,Visitors,2021,Little Italy,
409,POINT (-87.76204 41.997245),5331 W. Devon Ave.,Chicago,60646,3693,3427,4527,4316,3982,4167,5480,5383,4771,4556,4563,4018,52883,Visitors,2021,Edgebrook,
410,POINT (-87.637516 41.78199),6151 S. Normal Blvd.,Chicago,60621,497,428,635,587,639,646,876,929,852,854,736,1717,9396,Visitors,2021,Kelly,
411,POINT (-87.660306 41.990923),6000 N. Broadway St.,Chicago,60660,7563,6508,7403,7607,3654,6060,10020,9843,9328,9424,8436,8461,94307,Visitors,2021,Edgewater,
412,POINT (-87.636643 41.903838),310 W. Division St.,Chicago,60610,4771,4786,6168,6179,6708,7670,6837,6536,6649,6686,6992,5750,75732,Visitors,2021,Near North,
413,POINT (-87.642569 41.81627),642 W. 43rd St.,Chicago,60609,0,0,0,0,0,0,396,808,1744,1778,1586,1599,7911,Visitors,2021,Canaryville,
414,POINT (-87.646149 41.8327),3400 S. Halsted St.,Chicago,60608,2480,2162,2959,3141,4858,3370,3473,653,0,0,0,0,23096,Visitors,2021,"Daley, Richard J.",
415,POINT (-87.679091 41.881026),6 S. Hoyne Ave.,Chicago,60612,0,0,0,0,0,0,0,0,1239,2986,2780,2831,9836,Visitors,2021,Manning,
416,POINT (-87.754876 41.938748),5108 W. Belmont Ave.,Chicago,60641,2301,1971,2789,2645,2533,2724,3199,3326,3447,3523,3402,3116,34976,Visitors,2021,Portage-Cragin,
417,POINT (-87.61416 41.751132),415 East 79th St.,Chicago,60619,1830,1515,1921,2215,2311,2436,1639,3665,3651,2854,3016,3113,30166,Visitors,2021,"Whitney M. Young, Jr.",
418,POINT (-87.600377 41.762277),1000 E. 73rd St.,Chicago,60619,837,954,1097,1137,1137,1304,2303,0,930,1724,1237,950,13610,Visitors,2021,Greater Grand Crossing,
419,POINT (-87.724291 41.749388),4101 W. 79th St.,Chicago,60652,1856,2117,1625,1598,3369,3596,4579,4124,3734,3768,3553,3513,37432,Visitors,2021,Scottsdale,
420,POINT (-87.5989 41.657262),955 E. 131st St.,Chicago,60827,339,270,412,470,724,998,1437,1397,162,155,1744,2652,10760,Visitors,2021,Altgeld,
421,POINT (-87.723756 41.778629),4020 W. 63rd St.,Chicago,60629,1030,914,1363,1406,1307,699,0,0,0,0,0,0,6719,Visitors,2021,West Lawn,
422,POINT (-87.677601 41.808523),2111 W. 47th St.,Chicago,60609,1440,1482,2382,1491,1948,1970,2560,2873,2283,2957,1877,2122,25385,Visitors,2021,Back of the Yards,
423,POINT (-87.67344 42.006673),6907 N. Clark St.,Chicago,60626,4179,4718,6600,5291,6506,5446,7667,7419,7437,8301,5635,6496,75695,Visitors,2021,Rogers Park,
424,POINT (-87.780075 41.79286),6348 S. Archer Ave.,Chicago,60638,2594,2330,3215,2816,2705,3375,3626,3139,3204,3526,3122,3419,37071,Visitors,2021,Garfield Ridge,
425,POINT (-87.617335 41.832238),3436 S. King Dr.,Chicago,60616,1209,1101,1481,1474,1480,1498,1711,1492,1329,1403,1845,1362,17385,Visitors,2021,King,
426,POINT (-87.623234 41.897609),163 E. Pearson Street,Chicago,60611,0,0,0,0,0,0,0,0,1024,3207,3365,2998,10594,Visitors,2021,Water Works,
427,POINT (-87.706545 41.894322),733 N. Kedzie Ave.,Chicago,60612,6556,6016,6788,5320,4750,5961,4218,5543,5565,4430,4142,4819,64108,Visitors,2021,"Daley, Richard M.",
428,POINT (-87.705655 41.910536),1605 N. Troy St.,Chicago,60647,2527,1962,2634,2570,2839,2915,3305,3375,3079,2853,2918,3115,34092,Visitors,2021,Humboldt Park,
429,POINT (-87.684637 41.962677),4455 N. Lincoln Ave.,Chicago,60625,13873,12812,16196,14320,14497,13147,15148,16132,15602,16374,12616,14660,175377,Visitors,2021,Sulzer Regional Library,
430,POINT (-87.590212 41.807619),4904 S. Lake Park Ave.,Chicago,60615,3491,2572,4279,4316,4527,4822,5970,6237,5925,6649,6316,5906,61010,Visitors,2021,Blackstone,
431,POINT (-87.768877 41.909401),5724 W. North Ave.,Chicago,60639,1072,868,1262,1249,1350,1969,1864,1710,1428,1445,1318,1282,16817,Visitors,2021,North Austin,
432,POINT (-87.668233 41.89606),1625 W. Chicago Ave.,Chicago,60622,3402,2938,3580,3627,4617,4973,4058,2096,2969,6183,5076,4759,48278,Visitors,2021,West Town,
433,POINT (-87.696439 41.983843),5630 N. Lincoln Ave.,Chicago,60659,5058,4386,5771,5662,5382,6008,7148,7031,6210,6390,6078,5559,70683,Visitors,2021,Budlong Woods,
434,POINT (-87.658126 41.925316),1150 W. Fullerton Ave.,Chicago,60614,4915,4435,5858,5630,5764,7657,6967,7273,6874,7174,7287,6040,75874,Visitors,2021,Lincoln Park,
435,POINT (-87.66821 41.779364),1745 W. 63rd St.,Chicago,60636,2038,1657,2047,1947,2211,2225,2467,3104,2958,3021,2759,2471,28905,Visitors,2021,West Englewood,
436,POINT (-87.726723 41.801206),5055 S. Archer Ave.,Chicago,60632,2949,2857,3310,3325,2911,2244,2937,2993,2847,3095,2709,2488,34665,Visitors,2021,Archer Heights,
437,POINT (-87.548914 41.659153),3048 E. 130th St.,Chicago,60633,1165,1081,1450,1507,1451,1523,1611,1428,1461,1568,1365,1362,16972,Visitors,2021,Hegewisch,
438,POINT (-87.719889 41.954219),4024 N. Elston Ave.,Chicago,60618,2412,2172,2554,2486,2490,2429,3039,3665,2963,2996,3033,2792,33031,Visitors,2021,Independence,
439,POINT (-87.661298 41.857604),1805 S. Loomis St.,Chicago,60608,3634,4546,3215,3959,7947,7910,4440,4323,3918,3171,4508,4158,55729,Visitors,2021,Lozano,
440,POINT (-87.563672 41.762654),2505 E. 73rd St.,Chicago,60649,1066,868,1155,1514,1620,1486,1388,1819,1784,1682,1539,1580,17501,Visitors,2021,South Shore,
441,POINT (-87.631794 41.854267),2100 S. Wentworth Ave.,Chicago,60616,2963,2583,4102,6748,6209,7770,11264,11362,10363,11385,10353,8681,93783,Visitors,2021,Chinatown,
442,POINT (-87.709767 41.864527),3353 W. 13th St.,Chicago,60623,435,326,484,548,484,184,589,1165,1055,728,1152,895,8045,Visitors,2021,Douglass,
443,POINT (-87.703483 41.924806),3030 W. Fullerton Ave.,Chicago,60647,7285,6269,7746,7003,6563,7634,8569,8214,7770,8685,8643,8307,92688,Visitors,2021,Logan Square,
444,POINT (-87.798265 41.991862),6083 N. Northwest Hwy.,Chicago,60631,2759,2471,2950,2866,3285,4137,3952,3791,3381,3520,3261,3393,39766,Visitors,2021,Roden,
445,POINT (-87.798468 41.921134),6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,Visitors,2021,Galewood-Mont Clare,
446,POINT (-87.785858 41.936833),3104 N. Narragansett Ave.,Chicago,60634,1954,1675,2323,2153,2225,3387,2728,2856,2847,3106,2967,2472,30693,Visitors,2021,West Belmont,
447,POINT (-87.680298 41.912224),1701 N. Milwaukee Ave.,Chicago,60647,5015,4257,4969,5355,5364,4530,6287,5834,5961,6668,7070,5676,66986,Visitors,2021,Bucktown-Wicker Park,
448,POINT (-87.733923 41.909856),4300 W. North Ave.,Chicago,60639,1669,1425,2190,1923,1980,2233,2466,2169,2284,2142,2088,2024,24593,Visitors,2021,North Pulaski,
449,POINT (-87.673442 41.830421),1915 W. 35th St.,Chicago,60609,368,2793,3784,3621,3409,3679,4062,4369,4553,4392,4310,3795,43135,Visitors,2021,McKinley Park,
450,POINT (-87.643327 41.677819),830 W. 119th St.,Chicago,60643,883,990,1872,1445,1490,1471,1645,1470,1203,1243,1098,1122,15932,Visitors,2021,West Pullman,
451,POINT (-87.672288 41.721148),1962 W. 95th St.,Chicago,60643,1709,1221,1741,2081,1761,1816,2350,2000,1994,2178,2368,2237,23456,Visitors,2021,Beverly,
452,POINT (-87.725593 41.879302),115 S. Pulaski Rd.,Chicago,60624,477,359,424,629,650,1004,1326,1272,2427,2174,2179,2170,15091,Visitors,2021,Legler Regional,
453,POINT (-87.724477 41.842073),2708 S. Pulaski Rd.,Chicago,60623,1371,1155,1856,1554,1522,1842,1925,1662,1818,1645,1538,1675,19563,Visitors,2021,Toman,
454,POINT (-87.766942 41.889281),5615 W. Race Ave.,Chicago,60644,2991,2412,3799,2957,2615,2946,2874,3083,2926,3171,3164,2383,35321,Visitors,2021,Austin,
455,POINT (-87.702091 41.738331),8530 S. Kedzie Ave.,Chicago,60652,1417,0,0,734,908,1223,1435,1299,1279,1440,1316,1223,12274,Visitors,2021,Wrightwood-Ashburn,
456,POINT (-87.761964 41.967648),5363 W. Lawrence Ave.,Chicago,60630,2656,2338,3901,5630,4029,4227,4475,4328,3834,4061,4034,3429,46942,Visitors,2021,Jefferson Park,
457,POINT (-87.738155 41.968148),4400 W. Lawrence Ave.,Chicago,60630,1302,1061,1682,1566,1533,1520,2795,2261,2105,2100,2194,1675,21794,Visitors,2021,Mayfair,
458,POINT (-87.549849 41.730371),9055 S. Houston Ave.,Chicago,60617,768,1726,1866,2294,2737,2783,3409,3580,3375,2729,3142,2927,31336,Visitors,2021,South Chicago,
459,POINT (-87.782282 41.7768),6423 W. 63rd Pl.,Chicago,60638,440,380,1100,525,1535,0,455,1605,1515,1590,380,1152,10677,Visitors,2021,Clearing,
460,POINT (-87.646055 41.940054),644 W. Belmont Ave.,Chicago,60657,4605,5611,6347,6577,7036,7657,7875,8351,8264,8694,7916,7274,86207,Visitors,2021,Merlo,
461,POINT (-87.654217 41.95846),929 W. Buena Ave.,Chicago,60613,4948,3901,4675,5357,4901,5713,5877,6088,6197,6305,5801,5496,65259,Visitors,2021,Uptown,
462,POINT (-87.703231 41.781967),6120 S. Kedzie Ave.,Chicago,60629,2444,2207,3018,2960,3233,3605,4959,5416,4056,3890,3524,3557,42869,Visitors,2021,Chicago Lawn,
463,POINT (-87.627695 41.876301),400 S. State St.,Chicago,60605,39287,36109,43918,38621,24131,49671,52519,43215,52795,57025,54392,52268,543951,Visitors,2021,Harold Washtington Library Center,
464,POINT (-87.703067 41.814848),4314 S. Archer Ave.,Chicago,60632,1250,1004,1515,1418,1451,1481,2581,2499,320,0,1270,1427,16216,Visitors,2021,Brighton Park,
465,POINT (-87.747411 41.895019),4856 W. Chicago Ave.,Chicago,60651,330,490,667,618,692,693,786,887,1102,991,881,817,8954,Visitors,2021,West Chicago Avenue,
466,POINT (-87.705179 41.849599),2311 S. Kedzie Ave.,Chicago,60623,967,1030,1158,1058,1317,1154,1713,1670,1596,1724,1721,1463,16571,Visitors,2021,Little Village,
467,POINT (-87.670433 41.940599),1659 W. Melrose St.,Chicago,60657,2888,3225,5433,5369,6630,5374,9603,2192,6908,7098,6446,6001,67167,Visitors,2021,Lincoln Belmont,
468,POINT (-87.694138 41.793722),2807 W. 55th St.,Chicago,60632,0,0,0,0,0,0,0,406,740,1308,1243,1122,4819,Visitors,2021,Gage Park,
469,POINT (-87.690175 42.00536),6800 N. Western Ave.,Chicago,60645,5957,5228,7482,6957,7333,8733,8909,9035,7797,7640,7640,6818,89529,Visitors,2021,Northtown,
470,POINT (-87.813908 41.94331),7455 W. Cornelia Ave.,Chicago,60634,4240,3646,4945,5441,4854,5150,7909,8380,8512,6217,6054,5705,71053,Visitors,2021,Dunning,
471,POINT (-87.660739 41.971414),1226 W. Ainslie St.,Chicago,60640,0,0,1629,4587,3738,2300,3663,5547,5549,6515,5552,4581,43661,Visitors,2021,Bezazian,
472,POINT (-87.654421 41.883595),122 N. Aberdeen St.,Chicago,60607,2514,2322,2685,2823,2728,2675,3442,3423,3346,3629,3569,3237,36393,Visitors,2021,West Loop,
473,POINT (-87.618295 41.694366),11001 S. Indiana Ave.,Chicago,60628,1558,1676,835,889,2124,2887,2906,2595,2456,2676,2329,2095,25026,Visitors,2021,Pullman,
474,POINT (-87.565489 41.713513),2401 E. 100th St.,Chicago,60617,2002,1747,2367,2425,110,222,959,1192,991,941,882,789,14627,Visitors,2021,Jeffery Manor,
475,POINT (-87.622776 41.807273),4801 S. Michigan Ave.,Chicago,60615,0,704,1629,1662,2029,2478,2627,2660,2278,2800,2333,2128,23328,Visitors,2021,Hall,
476,POINT (-87.700878 41.692925),11010 S. Kedzie Ave.,Chicago,60655,1400,1162,1583,1532,1479,1743,1913,1798,1569,1248,1558,1387,18372,Visitors,2021,Mount Greenwood,
477,POINT (-87.606849 41.780405),731 E. 63rd St.,Chicago,60637,3059,2538,2316,3029,1382,2802,2913,3625,3568,3778,3444,3827,36281,Visitors,2021,Coleman,
478,POINT (-87.779388 41.953025),6100 W. Irving Park Rd.,Chicago,60634,3101,3072,4830,3651,4121,4523,4536,4337,4483,4613,3488,3965,48720,Visitors,2021,Austin-Irving,
479,POINT (-87.643122 41.720675),9525 S. Halsted St.,Chicago,60628,3655,3446,5049,6815,3638,3144,5060,5636,5256,5312,4550,4426,55987,Visitors,2021,Woodson Regional Library,
480,POINT (-87.65393 41.757373),7506 S. Racine Ave.,Chicago,60620,2094,2043,2695,2698,2419,2557,2944,3165,2994,3092,2690,2773,32164,Visitors,2021,Thurgood Marshall,
481,POINT (-87.626436 41.828152),3647 S. State St.,Chicago,60609,496,488,595,653,866,974,898,1130,1076,1145,931,936,10188,Visitors,2021,Chicago Bee,
482,POINT (-87.533513 41.70272),3710 E. 106th St.,Chicago,60617,2007,2769,2370,2357,2184,2188,3058,3058,3141,3674,3405,3357,33568,Visitors,2021,Vodak-East Side,
483,POINT (-87.65487 41.794843),5440 S. Racine Ave.,Chicago,60609,1420,1264,1699,1644,1404,1707,1809,1824,1669,1587,1489,1321,18837,Visitors,2021,Sherman Park,
